[ 6003157ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[ 6003266ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6004286ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6005295ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6006305ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6007313ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6008333ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6013348ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6018381ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6023418ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6028461ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6033554ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6038695ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6043853ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=ckIV1XgxilZvsUlOmn1_X' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6044078ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[ 6044696ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6046416ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6049278ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6052582ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6057048ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6059201ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6068682ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6077503ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6086751ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6094522ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6103743ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6113016ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6120485ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=OsAG_8ukc0-C_IG5Uc95e' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6120650ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2477
[ 6122405ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=XMx80hgzOe0mBhOLbOk6t' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6123415ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=XMx80hgzOe0mBhOLbOk6t' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6124434ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=XMx80hgzOe0mBhOLbOk6t' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
[ 6125443ms] [ERROR] WebSocket connection to 'ws://172.15.1.71:3000/_next/webpack-hmr?id=XMx80hgzOe0mBhOLbOk6t' failed: Error during WebSocket handshake: net::ERR_INVALID_HTTP_RESPONSE @ http://172.15.1.71:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js:13422
